Program,buy_date,cohort_start_date,days_to_start,month_sale,month_start,month_diff,null_month,one_month,two_month,three_month,four_month,five_month,six_month,seven_month,eigth_month
DS,22/10/2024,18/11/2024,27,10,11,1,0,1,0,0,0,0,0,0,0
FS,5/11/2024,2/12/2024,27,11,12,1,0,1,0,0,0,0,0,0,0
FS,5/11/2024,2/12/2024,27,11,12,1,0,1,0,0,0,0,0,0,0
FS,5/11/2024,2/12/2024,27,11,12,1,0,1,0,0,0,0,0,0,0
FS,5/11/2024,2/12/2024,27,11,12,1,0,1,0,0,0,0,0,0,0
FS,5/11/2024,2/12/2024,27,11,12,1,0,1,0,0,0,0,0,0,0
FS,6/02/2023,6/03/2023,28,2,3,1,0,1,0,0,0,0,0,0,0
FS,27/02/2023,27/03/2023,28,2,3,1,0,1,0,0,0,0,0,0,0
FS,29/05/2023,26/06/2023,28,5,6,1,0,1,0,0,0,0,0,0,0
FS,15/01/2024,12/02/2024,28,1,2,1,0,1,0,0,0,0,0,0,0
FS,15/01/2024,12/02/2024,28,1,2,1,0,1,0,0,0,0,0,0,0
DS,22/01/2024,19/02/2024,28,1,2,1,0,1,0,0,0,0,0,0,0
FS,5/02/2024,4/03/2024,28,2,3,1,0,1,0,0,0,0,0,0,0
FS,5/02/2024,4/03/2024,28,2,3,1,0,1,0,0,0,0,0,0,0
DS,4/03/2024,1/04/2024,28,3,4,1,0,1,0,0,0,0,0,0,0
FS,25/03/2024,22/04/2024,28,3,4,1,0,1,0,0,0,0,0,0,0
FS,29/04/2024,27/05/2024,28,4,5,1,0,1,0,0,0,0,0,0,0
FS,29/04/2024,27/05/2024,28,4,5,1,0,1,0,0,0,0,0,0,0
FS,20/05/2024,17/06/2024,28,5,6,1,0,1,0,0,0,0,0,0,0
FS,20/05/2024,17/06/2024,28,5,6,1,0,1,0,0,0,0,0,0,0
FS,16/09/2024,14/10/2024,28,9,10,1,0,1,0,0,0,0,0,0,0
FS,30/09/2024,28/10/2024,28,9,10,1,0,1,0,0,0,0,0,0,0
FS,4/11/2024,2/12/2024,28,11,12,1,0,1,0,0,0,0,0,0,0
FS,4/11/2024,2/12/2024,28,11,12,1,0,1,0,0,0,0,0,0,0
FS,4/11/2024,2/12/2024,28,11,12,1,0,1,0,0,0,0,0,0,0
FS,13/11/2023,12/12/2023,29,11,12,1,0,1,0,0,0,0,0,0,0
FS,24/02/2023,27/03/2023,31,2,3,1,0,1,0,0,0,0,0,0,0
FS,21/04/2023,22/05/2023,31,4,5,1,0,1,0,0,0,0,0,0,0
FS,21/04/2023,22/05/2023,31,4,5,1,0,1,0,0,0,0,0,0,0
DS,29/12/2023,29/01/2024,31,12,1,1,0,1,0,0,0,0,0,0,0
FS,12/01/2024,12/02/2024,31,1,2,1,0,1,0,0,0,0,0,0,0
DS,19/01/2024,19/02/2024,31,1,2,1,0,1,0,0,0,0,0,0,0
DS,19/01/2024,19/02/2024,31,1,2,1,0,1,0,0,0,0,0,0,0
FS,1/03/2024,1/04/2024,31,3,4,1,0,1,0,0,0,0,0,0,0
FS,5/04/2024,6/05/2024,31,4,5,1,0,1,0,0,0,0,0,0,0
